cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page
,Accounting - Conversion Course - Aungier Street,,8,,Business,https://www.qualifax.ie/course/18958,1,0,,,2025-01-25T15:00:00,4
,Accounting - Cork,,8,,Business,https://www.qualifax.ie/course/59526,1,0,,,2025-01-25T15:00:00,4
,Accounting - Cork,,8,,Business,https://www.qualifax.ie/course/33305,1,0,,,2025-01-25T15:00:00,4
,Accounting - Galway,,8,,Business,https://www.qualifax.ie/course/13189,1,0,,,2025-01-25T15:00:00,4
,Accounting - International - Aungier Street,,8,,Business,https://www.qualifax.ie/course/93540,1,0,,,2025-01-25T15:00:00,4
,Accounting - International Accounting with Analytics,,8,,Business,https://www.qualifax.ie/course/112988,1,0,,,2025-01-25T15:00:00,4
,Accounting - Letterkenny,,8,,Business,https://www.qualifax.ie/course/108007,1,0,,,2025-01-25T15:00:00,4
,Accounting - Major with French,,8,,Business,https://www.qualifax.ie/course/3209,1,0,,,2025-01-25T15:00:00,4
,Accounting - Major with Spanish,,8,,Business,https://www.qualifax.ie/course/3464,1,0,,,2025-01-25T15:00:00,4
,Accounting - Manual & Computerised,,8,,STEM,https://www.qualifax.ie/course/108922,1,0,,,2025-01-25T15:00:00,4
,Accounting - Pathways,,8,,Business,https://www.qualifax.ie/course/112458,1,0,,,2025-01-25T15:00:00,4
,Accounting - Professional Accounting,,8,,Business,https://www.qualifax.ie/course/47781,1,0,,,2025-01-25T15:00:00,4
,Accounting - Research,,8,,Business,https://www.qualifax.ie/course/33532,1,0,,,2025-01-25T15:00:00,4
,Accounting - Research,,8,,Business,https://www.qualifax.ie/course/112740,1,0,,,2025-01-25T15:00:00,4
,Accounting - Research,,8,,Business,https://www.qualifax.ie/course/110227,1,0,,,2025-01-25T15:00:00,4
,Accounting - Sligo,,8,,Business,https://www.qualifax.ie/course/34200,1,0,,,2025-01-25T15:00:00,4
,Accounting - Strategic,,8,,Business,https://www.qualifax.ie/course/110560,1,0,,,2025-01-25T15:00:00,4
,Accounting - Waterford,,8,,Business,https://www.qualifax.ie/course/2623,1,0,,,2025-01-25T15:00:00,4
,Accounting & Analytics,,8,,Business,https://www.qualifax.ie/course/224294,1,0,,,2025-01-25T15:00:00,4
,Accounting & Business - Advanced Diploma,,7,,Business,https://www.qualifax.ie/course/2775,1,0,,,2025-01-25T15:00:00,4
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/113231,1,0,,,2025-01-25T15:00:00,4
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/113220,1,0,,,2025-01-25T15:00:00,4
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/84552,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/26372,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/218441,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/112408,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/224092,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/224093,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/1351,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/104576,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/14055,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/2993,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/85972,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/7580,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/59026,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/111388,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/99,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/1758,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance,,8,,Business,https://www.qualifax.ie/course/65067,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Advanced Entry - Blanchardstown & Tallaght,,8,,Business,https://www.qualifax.ie/course/224005,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Advanced Entry - Blanchardstown & Tallaght,,8,,Business,https://www.qualifax.ie/course/100927,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Advanced Entry - Blanchardstown & Tallaght,,8,,Business,https://www.qualifax.ie/course/224004,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Advanced Entry - Blanchardstown & Tallaght,,8,,Business,https://www.qualifax.ie/course/221735,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Blanchardstown or Tallaght,,8,,Business,https://www.qualifax.ie/course/109641,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Blanchardstown or Tallaght,,8,,Business,https://www.qualifax.ie/course/109643,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Limerick,,8,,Business,https://www.qualifax.ie/course/2647,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Limerick,,8,,Business,https://www.qualifax.ie/course/43752,1,0,,,2025-01-25T15:00:00,5
,Accounting & Finance - Research,,8,,Business,https://www.qualifax.ie/course/112566,1,0,,,2025-01-25T15:00:00,6
,Accounting & Finance - Tallaght,,8,,Business,https://www.qualifax.ie/course/109088,1,0,,,2025-01-25T15:00:00,6
,Accounting & Finance - Tallaght,,8,,Business,https://www.qualifax.ie/course/27129,1,0,,,2025-01-25T15:00:00,6
,Accounting & Finance Management,,8,,Business,https://www.qualifax.ie/course/39291,1,0,,,2025-01-25T15:00:00,6
,Accounting & Finance Management,,8,,Business,https://www.qualifax.ie/course/108206,1,0,,,2025-01-25T15:00:00,6
,Accounting & Financial Management,,8,,Business,https://www.qualifax.ie/course/108161,1,0,,,2025-01-25T15:00:00,6
,Accounting & Financial Services,,8,,Business,https://www.qualifax.ie/course/111390,1,0,,,2025-01-25T15:00:00,6
,Accounting & Law,,8,,Business,https://www.qualifax.ie/course/112459,1,0,,,2025-01-25T15:00:00,6
,Accounting & Marketing,,8,,Business,https://www.qualifax.ie/course/44793,1,0,,,2025-01-25T15:00:00,6
,Accounting & Performance Analytics - Conversion Course,,8,,Business,https://www.qualifax.ie/course/20020,1,0,,,2025-01-25T15:00:00,6
,Accounting and Finance,,8,,Business,https://www.qualifax.ie/course/3662,1,0,,,2025-01-25T15:00:00,6
,Accounting for SMES - Manual & Computerised,,8,,STEM,https://www.qualifax.ie/course/8505,1,0,,,2025-01-25T15:00:00,6
,Accounting Payroll & Taxation,,8,,Business,https://www.qualifax.ie/course/67957,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician,,8,,Business,https://www.qualifax.ie/course/3700,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician,,8,,Business,https://www.qualifax.ie/course/107598,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician,,8,,Business,https://www.qualifax.ie/course/349,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician,,8,,Business,https://www.qualifax.ie/course/3398,1,0,,,2025-01-25T15:00:00,6
,Accounting Technician - 2nd Year,,8,,Business,https://www.qualifax.ie/course/3187,1,0,,,2025-01-25T15:00:00,6
